Rk,Tm,Year,#Matching,W,L,,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SH,SF,IBB,HBP,GDP,SB,CS,WPA
1,TBR,2015,84,42,42,Ind. Games,3016,2730,315,669,135,13,82,296,214,694,.245,.309,.394,.703,8,18,10,46,60,50,19,-2.9
2,STL,1991,84,52,32,Ind. Games,3060,2707,345,682,116,34,32,313,290,394,.252,.325,.355,.680,29,21,27,13,48,113,47,2.6
3,SEA,2011,84,39,45,Ind. Games,3007,2703,265,599,111,10,57,258,245,706,.222,.289,.333,.623,20,19,18,20,45,58,18,-6.3
4,PIT,1991,84,52,32,Ind. Games,3096,2702,382,697,131,27,61,359,304,445,.258,.334,.394,.728,47,27,29,16,56,52,27,6.9
5,PHI,2010,84,54,30,Ind. Games,3177,2831,410,747,148,19,94,397,282,495,.264,.334,.429,.763,13,23,25,28,58,49,12,4.5
6,MIN,1985,84,49,35,Ind. Games,3166,2833,407,795,166,22,71,391,260,378,.281,.342,.430,.772,25,30,20,18,56,41,17,3.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,STL,1989,83,46,35,Ind. Games,3009,2675,319,686,142,34,27,301,251,391,.256,.320,.365,.685,41,30,36,12,52,72,24,0.6
8,SEA,1985,83,42,41,Ind. Games,3135,2781,360,718,138,19,92,347,304,447,.258,.333,.421,.754,15,18,25,17,73,51,20,-2.7
9,PHI,1991,83,47,36,Ind. Games,3107,2782,341,697,133,16,61,325,261,509,.251,.316,.376,.691,26,23,32,15,61,45,17,4.6
10,OAK,1986,83,47,36,Ind. Games,3094,2716,363,687,93,11,75,345,311,473,.253,.330,.378,.708,29,25,14,13,60,76,27,3.8
11,CHC,1991,83,46,37,Ind. Games,3130,2829,386,731,126,10,93,362,217,425,.258,.313,.409,.722,37,26,17,21,41,66,23,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TOR,2001,82,40,42,Ind. Games,3141,2809,412,757,146,14,94,392,256,537,.269,.335,.432,.767,8,31,21,37,60,87,24,-1.1
13,TEX,2013,82,46,36,Ind. Games,3032,2713,374,728,115,10,85,353,251,496,.268,.333,.412,.745,25,19,10,23,59,84,23,1.0
14,TEX,2001,82,41,41,Ind. Games,3180,2820,449,798,154,16,124,420,284,518,.283,.353,.481,.834,9,29,18,38,74,48,21,3.1
15,TEX,1990,82,47,35,Ind. Games,3085,2706,354,718,135,15,64,337,296,532,.265,.341,.397,.738,35,22,27,25,73,59,28,2.5
16,STL,1998,82,48,34,Ind. Games,3274,2809,432,743,154,18,113,418,372,589,.265,.354,.453,.807,48,19,47,26,62,62,16,5.7
17,STL,2001,82,54,28,Ind. Games,3047,2675,443,759,142,19,100,413,264,508,.284,.352,.463,.816,42,30,29,36,61,45,16,5.0
18,SFG,2013,82,42,40,Ind. Games,3085,2746,287,708,140,20,44,274,256,500,.258,.322,.371,.694,46,21,28,16,54,33,15,3.2
19,SFG,1996,82,38,44,Ind. Games,3159,2748,386,711,120,9,82,357,318,589,.259,.338,.398,.737,41,26,32,26,58,59,29,1.3
20,SFG,2004,82,47,35,Ind. Games,3190,2726,439,774,168,27,88,413,357,408,.284,.372,.462,.834,41,27,80,39,81,22,8,7.3
21,SEA,1986,82,41,41,Ind. Games,3138,2779,410,741,147,30,97,385,293,552,.267,.340,.446,.785,32,12,20,20,67,35,31,3.3
22,SEA,2004,82,38,44,Ind. Games,3079,2761,313,703,130,8,71,294,260,552,.255,.322,.385,.706,18,18,19,22,55,59,23,-6.9
