Rk,Tm,Year,#Matching,W,L,,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SH,SF,IBB,HBP,GDP,SB,CS,WPA
1,STL,1989,164,86,76,Ind. Games,6141,5492,632,1418,263,47,73,587,507,848,.258,.321,.363,.684,78,43,59,21,120,155,54,-1.6
2,PIT,1989,164,74,88,Ind. Games,6261,5539,637,1334,263,53,95,584,563,914,.241,.311,.359,.670,83,51,91,24,115,155,69,-3.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TOR,1998,163,88,74,Ind. Games,6323,5580,816,1482,316,19,221,776,564,1132,.266,.340,.448,.787,43,49,43,87,108,184,81,-2.5
4,TOR,1986,163,86,76,Ind. Games,6318,5716,809,1540,285,35,181,767,496,848,.269,.329,.427,.755,24,49,23,33,122,110,59,3.6
5,TOR,1984,163,89,73,Ind. Games,6286,5687,750,1555,275,68,143,702,460,816,.273,.331,.421,.752,35,49,46,52,91,193,67,6.3
6,TEX,1983,163,77,85,Ind. Games,6162,5610,639,1429,242,33,106,587,442,767,.255,.310,.366,.677,38,42,33,29,123,119,60,-11.9
7,TEX,2013,163,91,72,Ind. Games,6196,5585,730,1465,262,23,176,691,462,1067,.262,.323,.412,.735,45,42,26,61,124,149,46,0.2
8,TEX,1996,163,90,72,Ind. Games,6494,5702,928,1622,323,32,221,890,660,1041,.284,.358,.469,.827,32,69,51,31,128,83,26,1.7
9,TEX,1980,163,76,85,Ind. Games,6320,5690,756,1616,263,27,124,720,480,589,.284,.339,.405,.744,70,56,51,23,156,91,49,-1.2
10,TBR,2013,163,92,71,Ind. Games,6242,5538,700,1421,296,23,165,670,589,1171,.257,.329,.408,.737,24,55,31,36,140,73,38,5.3
11,STL,1998,163,83,79,Ind. Games,6413,5593,810,1444,292,30,223,781,676,1179,.258,.341,.441,.781,68,34,65,42,117,133,41,4.1
12,SFG,1998,163,89,74,Ind. Games,6484,5628,845,1540,292,26,161,800,678,1040,.274,.353,.421,.774,81,53,53,44,123,102,51,7.4
13,SEA,1980,163,59,103,Ind. Games,6142,5489,610,1359,211,35,104,564,483,727,.248,.308,.356,.664,106,44,44,19,136,116,62,-12.5
